route_no,trip_id,direction,stop_name,scheduled_time,days
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,East Fort,06:00,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Statue,06:08,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Palayam,06:16,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Pattom,06:24,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Kesavadasapuram,06:32,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Ulloor,06:40,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Sreekaryam,06:48,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T01,UP,Kazhakuttam,06:56,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,East Fort,06:30,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Statue,06:38,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Palayam,06:46,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Pattom,06:54,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Kesavadasapuram,07:02,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Ulloor,07:10,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Sreekaryam,07:18,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T02,UP,Kazhakuttam,07:26,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,East Fort,07:00,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Statue,07:08,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Palayam,07:16,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Pattom,07:24,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Kesavadasapuram,07:32,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Ulloor,07:40,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Sreekaryam,07:48,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T03,UP,Kazhakuttam,07:56,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,East Fort,07:30,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Statue,07:38,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Palayam,07:46,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Pattom,07:54,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Kesavadasapuram,08:02,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Ulloor,08:10,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Sreekaryam,08:18,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T04,UP,Kazhakuttam,08:26,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T05,UP,East Fort,08:00,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T05,UP,Statue,08:08,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T05,UP,Palayam,08:16,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T05,UP,Pattom,08:24,Mon-Sun
TVM-KZK-ORD,TVM-KZK-ORD-T05,UP,Kesavadasapuram,08:32,Mon-Sun
